E,U,u,b_p,b_q,a_p,a_q
1773392390024,2497661835,2497661859,[2.024 2.023 2.022 2.021 2.02 ],[ 697.9  1282.09  839.26 1342.27 1888.53],[2.025 2.026 2.027 2.031 2.035],[  253.79   494.92  1390.76 28941.5   8736.1 ]
1773392390026,2497661835,2497661859,[2.024 2.023 2.022 2.021 2.02 ],[ 697.9  1282.09  839.26 1342.27 1888.53],[2.025 2.026 2.027 2.031 2.035],[  253.79   494.92  1390.76 28941.5   8736.1 ]
1773392390105,2497661860,2497661876,[2.023 2.022 2.021 2.02 ],[1151.04 1001.56 1292.89 1814.46],[2.025 2.026 2.029 2.03  2.05  2.054],"[1.479000e+01 5.869400e+02 1.400550e+03 1.343980e+03 2.935323e+04
 3.083400e+02]"
1773392390205,2497661877,2497661888,[2.024 2.023 2.022 2.021],[ 956.11 1146.35  839.26 1272.89],[2.025 2.027 2.029 2.03 ],[  12.07 1216.93 1267.21  921.58]
1773392390305,2497661889,2497661891,[2.023],[1118.94],[2.026],[589.65]
1773392390405,2497661892,2497661895,[2.024 2.015 2.005 1.986],[  958.83 21792.89 18109.51 24160.55],[],[]
1773392390505,2497661896,2497661898,[2.012],[908.36],[2.036 2.039],[  709.44 14747.87]
1773392390605,2497661899,2497661899,[2.021],[1297.58],[],[]
1773392390705,2497661900,2497661900,[2.021],[1497.58],[],[]
1773392390805,2497661901,2497661902,[],[],[2.031 2.033],[28908.5   8411.65]
1773392391005,2497661903,2497661903,[],[],[2.033],[8586.24]
1773392391105,2497661904,2497661906,[2.024],[983.52],[2.027 2.028],[1330.69 1871.23]
1773392391205,2497661907,2497661910,[2.024 2.023 2.02 ],[1008.21 1139.09 1839.15],[2.027],[1350.75]
1773392391405,2497661911,2497661913,[2.024 2.021],[ 983.52 1472.89],[2.025],[124.57]
1773392391505,2497661914,2497661916,[2.023],[1114.4],[2.033 2.039],[8411.65  954.55]
1773392391605,2497661917,2497661917,[2.024],[958.83],[],[]
1773392391705,2497661918,2497661921,[],[],[2.027 2.028 2.03  2.05 ],[1330.69 1846.73 1208.78  494.89]
1773392391805,2497661922,2497661923,[2.024 2.021],[ 934.14 1448.2 ],[],[]
1773392392005,2497661924,2497661924,[2.02],[1814.46],[],[]
1773392392205,2497661925,2497661926,[2.011],[1208.18],[2.037],[784.3]
1773392392905,2497661927,2497661928,[1.8],[24032.33],[2.025],[12.07]
1773392394005,2497661929,2497661930,[2.01],[42099.39],[2.038],[1096.73]
1773392394212,2497661931,2497661940,[2.024 2.023 2.022 2.021],[ 688.57  771.75  931.28 1248.2 ],[2.025 2.026],[119.92 922.19]
1773392394305,2497661941,2497661942,[2.024],[685.85],[2.03],[921.58]
1773392394405,2497661943,2497661946,[2.023 2.022],[774.47 931.28],[2.025],[247.02]
1773392394705,2497661947,2497661947,[2.021],[1448.2],[],[]
1773392394905,2497661948,2497661948,[],[],[2.028],[1871.48]
1773392395005,2497661949,2497661949,[2.022],[839.26],[],[]
1773392395105,2497661950,2497661951,[2.024 2.023],[462.35 866.49],[],[]
1773392395405,2497661952,2497661952,[],[],[2.025],[251.67]
1773392395805,2497661953,2497661975,[2.024 2.023 2.022 2.009],[ 615.48 1176.31 1056.1  7907.61],[2.025 2.026 2.027 2.028 2.03  2.039],[   4.65  497.63 1422.71 1846.73 1199.88  957.55]
1773392395905,2497661976,2497661978,[2.024 2.022],[841.7  859.26],[],[]
1773392396005,2497661979,2497661979,[],[],[2.027],[1330.69]
1773392396105,2497661980,2497661981,[1.6],[2593.96],[2.026],[589.65]
1773392396405,2497661982,2497661984,[2.024],[980.71],[2.043],[2266.18]
1773392396605,2497661985,2497661987,[],[],[2.026 2.03 ],[301.74 921.58]
1773392396705,2497661988,2497661988,[2.022],[1059.26],[],[]
1773392396906,2497661989,2497661990,[],[],[2.029 2.03 ],[1390.01 1308.68]
1773392397006,2497661991,2497661991,[2.023],[1376.31],[],[]
1773392397205,2497661992,2497661996,[2.024 2.021],[1005.4  1472.89],[2.026 2.047],[579.21 609.11]
1773392397605,2497661997,2497661998,[2.008],[25223.74],[2.04],[3379.98]
1773392398505,2497661999,2497662002,[2.019 1.822],[2116.18   12.  ],[2.027],[1447.84]
1773392398605,2497662003,2497662003,[2.023],[1207.56],[],[]
1773392398705,2497662004,2497662005,[],[],[2.03],[1171.28]
1773392399306,2497662006,2497662007,[2.007],[1963.42],[2.041],[25788.16]
1773392399405,2497662008,2497662009,[],[],[2.06  2.062],[1169.42 1519.22]
1773392399505,2497662010,2497662010,[],[],[2.026],[598.79]
